smiles,docking_score
CC(C)CC(=O)OCC1=CO[C@@H](O)C2C1C[C@H](O)[C@]21CO1,-5.225
CCCCCC=CCC=CC=CC=O,-5.9
O=C1CNC(=O)C(=Cc2c[nH]c3ccccc23)N1,-8.489
CC[C@H](O)CC[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-5.135
COC[C@H]1C[C@@H](NC(=O)c2cccnc2)[C@H](O)[C@@H]1O,-5.607
O=C(CCO)O[C@H]1[C@H](O)C[C@@H](O)C[C@@H]1OC(=O)CCO,-5.161
CC(=O)OCC1=CO[C@H](O)[C@H]2[C@@H]1C[C@@H](O)[C@@]21CO1,-4.207
CC1CCC(CCC=O)O1,-5.202
COC(=O)[C@@H](C)O[C@@H]1C[C@@H]2OCC(O2)[C@H]1O,-5.011
COc1ccc2ccc(O)c(C=O)c2c1OC,-7.154
c1ccc(OC[C@@H]2COc3ccccc32)cc1,-7.425
Oc1ccc2c(ccc3ccc4c(c32)C[C@@H](O)O4)c1,-9.222
C[C@@H]1O[C@@]23C[C@@H]1[C@@H](O)C[C@@H]2C[C@@H](O)[C@@H](OC=O)[C@]3(C)O,-4.306
NC(=O)C1CCCNN1,-5.872
C[C@H]([C@H](C)Cl)[C@@H](N)C(N)=O,-5.35
CCCCC(=O)N[C@@H](CCCCN)C(=O)NCC=O,-5.541
C[C@@H]1C(=O)O[C@@]23CC(C)(C)[C@H]4O[C@]42[C@@H](C)CC[C@@H]13,-3.491
CCC(C)C(NC(N)=O)C(N)=O,-6.343
CC(=O)O[C@@H]1[C@H]2[C@@H](O)C[C@@H]3CC[C@H](O)C[C@]31O[C@@H]2C,-0.482
Oc1c2cc3c(cc2nc2occc12)OCO3,-8.806
O=Cc1csc(CCO)n1,-5.076
CC1(C)OC23CC1C(O)CC2(CO)[C@@H](O)CC[C@]3(C)O,-0.96
O=CC1=C(O)c2cc3c(cc2C1)C(O)=C(C(=O)O)C3,-9.311
CC1(C)C[C@H](O)[C@]23CC[C@@H](O)[C@](C)(CC[C@@H]12)C3=O,-3.432
CC[C@@H](C)/C=C(C)\C=C\[C@@H](N)[C@@H](C)C(N)=O,-6.588
CCCC(C)(O)CCC(CC)OC(C)=O,-5.516
CC1CCC(O)CO1,-4.822
[CH2]C#CC([CH2])=S,-4.049
CO[C@H]1CCCCC1=O,-4.918
C[C@H]1C[C@@H](O)C[C@H](O[C@@H]2COC[C@H](O)C2)O1,-5.571
OCc1cc(O)cc(O)c1C1OCCCC1O,-6.523
[CH2]C#CN1CCOCC1,-4.713
CNCCCCCC(=O)CC1(c2ccncc2)CCCC1,-4.812
C=C1CC[C@H](O)C/C1=C/C=C1\CCCC2(C)CCCC12,-4.152
OC1CC(O)OC(OC2CCCCO2)C1,-6.387
